                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 2.4252,                 2.4276,                 3.0047,                0.19341,                 0.1704,                0.10771,                0.03401,                 2.4939,                 4.6597,                 3.6027,               0.007624,               0.007624,               0.007624
                     26,                 2.4296,                 2.4659,                 2.9915,                0.27404,                0.19283,                0.16598,                0.06104,                 2.2973,                 3.2589,                 3.2592,               0.007525,               0.007525,               0.007525
                     27,                 2.3964,                  2.357,                 2.8968,                 0.3656,                0.38117,                0.33559,                0.13648,                 2.0111,                 2.6664,                 2.8903,               0.007426,               0.007426,               0.007426
                     28,                 2.3608,                 2.3756,                 2.9017,                0.42586,                0.34592,                0.30586,                0.12802,                 2.0385,                 2.6683,                 2.8516,               0.007327,               0.007327,               0.007327
                     29,                 2.3902,                 2.3452,                 2.9034,                0.26317,                0.21076,                0.14125,                0.04981,                 2.2578,                 3.2035,                 3.0887,               0.007228,               0.007228,               0.007228
                     30,                 2.2392,                  2.241,                 2.7977,                0.43783,                0.23318,                0.25496,                0.09455,                 2.1695,                   3.43,                 2.9232,               0.007129,               0.007129,               0.007129
                     31,                 2.2888,                 2.2112,                  2.782,                0.38858,                0.43946,                0.37294,                0.16517,                 1.9654,                 2.8156,                 2.7475,                0.00703,                0.00703,                0.00703
                     32,                 2.2327,                 2.1752,                 2.7611,                0.46296,                0.43049,                0.41165,                0.16056,                 2.0042,                 3.2998,                 2.7666,               0.006931,               0.006931,               0.006931
                     33,                 2.1535,                 2.0738,                 2.6897,                0.61785,                0.47085,                0.50455,                  0.246,                  1.823,                 2.3743,                  2.582,               0.006832,               0.006832,               0.006832
                     34,                 2.2372,                 2.0958,                 2.7529,                0.48423,                0.51121,                0.46695,                 0.2275,                  1.837,                 2.2065,                 2.6124,               0.006733,               0.006733,               0.006733
                     35,                 2.0928,                 2.1338,                 2.6539,                0.59224,                0.42152,                0.48465,                0.21712,                 1.9485,                 2.4337,                 2.6671,               0.006634,               0.006634,               0.006634
                     36,                 2.0862,                 2.0636,                 2.6376,                0.47614,                0.42797,                0.45094,                0.17335,                 1.9651,                 3.4828,                 2.7015,               0.006535,               0.006535,               0.006535
                     37,                 2.0435,                 2.0101,                 2.6332,                0.61194,                0.52466,                0.60632,                0.30579,                 1.7251,                 1.9491,                 2.4985,               0.006436,               0.006436,               0.006436
                     38,                 2.0727,                  1.948,                 2.6162,                0.65359,                0.50673,                0.60238,                0.29403,                 1.7751,                 1.8763,                 2.5709,               0.006337,               0.006337,               0.006337
                     39,                 2.0274,                 1.8909,                 2.5652,                0.55002,                0.58296,                 0.5777,                0.27288,                 1.7833,                 1.9241,                 2.5488,               0.006238,               0.006238,               0.006238
                     40,                 1.9936,                 1.8855,                 2.5469,                0.58051,                0.55157,                 0.6047,                0.31828,                 1.7435,                 1.8995,                 2.5125,               0.006139,               0.006139,               0.006139
                     41,                 2.0042,                 1.8174,                 2.5745,                0.43114,                0.49776,                0.36144,                0.13902,                 2.0081,                 2.2995,                 2.6424,                0.00604,                0.00604,                0.00604
                     42,                 1.9437,                 1.8704,                 2.5215,                0.72312,                0.58296,                0.66966,                0.36965,                 1.5585,                 1.6918,                 2.3151,               0.005941,               0.005941,               0.005941
                     43,                 1.8966,                 1.7588,                 2.4412,                0.69355,                0.50745,                0.60081,                0.32075,                 1.6861,                 1.8819,                 2.4126,               0.005842,               0.005842,               0.005842
                     44,                 1.8879,                 1.8133,                 2.4555,                0.60343,                0.53363,                0.59432,                 0.2955,                 1.6935,                  1.837,                 2.4352,               0.005743,               0.005743,               0.005743
                     45,                 1.7746,                  1.682,                 2.3304,                0.71335,                0.52466,                 0.6146,                0.33754,                 1.6293,                 1.7813,                 2.3732,               0.005644,               0.005644,               0.005644
                     46,                 1.8767,                 1.7616,                 2.4328,                0.58092,                0.54709,                0.55563,                0.28728,                 1.6618,                 1.9033,                 2.3699,               0.005545,               0.005545,               0.005545
                     47,                 1.8863,                 1.6577,                 2.4436,                0.74169,                 0.6009,                 0.7082,                0.38392,                 1.5883,                 1.6033,                 2.3304,               0.005446,               0.005446,               0.005446
                     48,                 1.8855,                 1.7121,                 2.4021,                 0.7007,                0.59842,                0.67446,                 0.3315,                 1.6634,                 1.6717,                  2.406,               0.005347,               0.005347,               0.005347
                     49,                 1.8095,                 1.6327,                 2.3383,                0.79907,                0.59641,                0.75095,                0.41767,                 1.5427,                 1.5368,                 2.2455,               0.005248,               0.005248,               0.005248
                     50,                 1.7208,                 1.5739,                 2.2865,                 0.7468,                0.67456,                0.77595,                0.42834,                 1.5461,                 1.5585,                 2.2501,               0.005149,               0.005149,               0.005149
                     51,                 1.7177,                 1.6101,                 2.2473,                0.76321,                0.67713,                0.78261,                0.44066,                 1.5378,                 1.5685,                 2.2125,                0.00505,                0.00505,                0.00505
                     52,                 1.7887,                 1.5672,                 2.3169,                0.70028,                0.67713,                0.75192,                0.42546,                 1.5333,                  1.485,                 2.2174,               0.004951,               0.004951,               0.004951
                     53,                 1.8313,                  1.586,                 2.3795,                0.70386,                0.63677,                 0.7118,                0.38322,                 1.6104,                  1.575,                 2.3258,               0.004852,               0.004852,               0.004852
                     54,                 1.7251,                 1.5525,                 2.2913,                0.79553,                0.58296,                0.74275,                0.40166,                 1.5883,                 1.4639,                 2.2938,               0.004753,               0.004753,               0.004753
                     55,                 1.7328,                 1.5217,                 2.2824,                0.76246,                0.69089,                0.78876,                0.43843,                  1.589,                 1.4685,                 2.2345,               0.004654,               0.004654,               0.004654
                     56,                 1.7862,                 1.4747,                 2.3002,                0.78679,                0.61227,                0.74439,                0.42934,                 1.5511,                 1.5283,                 2.1991,               0.004555,               0.004555,               0.004555
                     57,                 1.7655,                  1.531,                 2.3031,                0.78747,                0.70404,                0.77288,                0.45164,                 1.5454,                 1.4889,                 2.1731,               0.004456,               0.004456,               0.004456
                     58,                 1.8215,                 1.5369,                 2.3103,                0.75052,                0.76233,                0.81115,                0.48144,                 1.4684,                 1.3411,                  2.193,               0.004357,               0.004357,               0.004357
                     59,                 1.6846,                 1.4416,                  2.219,                 0.8152,                0.71212,                0.81994,                 0.4999,                 1.4282,                  1.347,                 2.0929,               0.004258,               0.004258,               0.004258
                     60,                 1.7211,                 1.4835,                 2.2314,                0.78354,                0.74669,                0.81844,                0.50414,                 1.3885,                 1.2809,                 2.0444,               0.004159,               0.004159,               0.004159
                     61,                 1.6423,                 1.5197,                 2.2226,                0.83513,                0.72688,                0.82648,                0.50531,                 1.3722,                 1.3302,                 2.0413,                0.00406,                0.00406,                0.00406
                     62,                 1.6459,                 1.4286,                 2.1326,                0.77356,                0.72197,                0.78363,                0.47309,                 1.4397,                 1.3632,                 2.1007,               0.003961,               0.003961,               0.003961
                     63,                 1.5948,                 1.3689,                 2.1464,                 0.8395,                0.68161,                0.81785,                0.51894,                  1.355,                 1.2465,                 2.0223,               0.003862,               0.003862,               0.003862
                     64,                 1.5865,                 1.4327,                 2.1455,                0.80563,                0.71749,                 0.8164,                0.52607,                 1.3511,                 1.2427,                 2.0285,               0.003763,               0.003763,               0.003763
                     65,                 1.6159,                 1.5095,                 2.1972,                0.83401,                0.71749,                0.82708,                0.53793,                 1.3381,                 1.2449,                  2.033,               0.003664,               0.003664,               0.003664
                     66,                 1.5813,                 1.4685,                 2.1505,                0.77828,                0.77128,                0.82832,                0.53199,                 1.3338,                   1.23,                 2.0282,               0.003565,               0.003565,               0.003565
                     67,                 1.6039,                 1.3652,                 2.1304,                0.75685,                0.72197,                0.79259,                0.51288,                 1.3516,                 1.2854,                  2.035,               0.003466,               0.003466,               0.003466
                     68,                 1.5502,                 1.2845,                 2.0706,                0.80992,                0.74888,                0.82427,                0.53029,                  1.349,                 1.2507,                 2.0179,               0.003367,               0.003367,               0.003367
                     69,                 1.6173,                 1.3863,                 2.1631,                0.85806,                0.75336,                0.84866,                0.52999,                 1.3829,                  1.249,                 2.0628,               0.003268,               0.003268,               0.003268
                     70,                 1.5792,                 1.3668,                  2.126,                 0.8344,                0.76825,                0.84566,                0.52161,                 1.4004,                 1.2394,                 2.0971,               0.003169,               0.003169,               0.003169
                     71,                 1.7039,                 1.4667,                 2.2283,                0.86625,                 0.7842,                0.87166,                0.54792,                 1.3443,                 1.2116,                 2.0082,                0.00307,                0.00307,                0.00307
                     72,                 1.5242,                 1.3558,                 2.0683,                0.87829,                0.75336,                0.85336,                0.56031,                 1.2828,                 1.1882,                 1.9694,               0.002971,               0.002971,               0.002971
                     73,                 1.4999,                 1.3166,                 2.0622,                0.84485,                0.76233,                0.84452,                0.53172,                 1.3684,                 1.1679,                 2.0693,               0.002872,               0.002872,               0.002872
                     74,                 1.5643,                 1.3085,                 2.0874,                 0.7631,                0.76557,                0.80543,                0.46848,                 1.5175,                 1.2644,                 2.1841,               0.002773,               0.002773,               0.002773
                     75,                 1.5501,                 1.2778,                 2.0673,                 0.8612,                0.75125,                0.84816,                0.53436,                 1.3818,                 1.1516,                 2.0676,               0.002674,               0.002674,               0.002674
                     76,                 1.5928,                 1.3413,                 2.1146,                0.83151,                0.73094,                0.83929,                0.55365,                 1.2925,                 1.1978,                 1.9782,               0.002575,               0.002575,               0.002575
                     77,                 1.5585,                  1.343,                 2.0751,                 0.8035,                0.77016,                0.85064,                0.56238,                 1.2758,                 1.1901,                 1.9507,               0.002476,               0.002476,               0.002476
                     78,                 1.5682,                  1.313,                 2.0956,                0.81565,                0.75395,                0.85666,                0.56032,                 1.3094,                 1.1416,                 1.9853,               0.002377,               0.002377,               0.002377
                     79,                 1.4554,                 1.1961,                 2.0134,                0.83481,                0.80269,                0.88153,                0.59164,                 1.2721,                 1.1056,                 1.9376,               0.002278,               0.002278,               0.002278
                     80,                  1.542,                 1.2107,                 2.0196,                0.82267,                0.79056,                0.86105,                0.53907,                  1.363,                 1.1578,                 2.0274,               0.002179,               0.002179,               0.002179
                     81,                 1.5048,                 1.2949,                 2.0748,                 0.7046,                0.67265,                 0.7189,                0.42601,                 1.5022,                 1.5506,                 2.1829,                0.00208,                0.00208,                0.00208
                     82,                 1.5149,                 1.2588,                 2.0275,                0.82125,                0.74172,                0.81449,                0.49829,                 1.4513,                 1.3289,                 2.0989,               0.001981,               0.001981,               0.001981
                     83,                 1.4013,                 1.2098,                 1.9968,                0.75397,                0.50224,                0.57965,                0.32448,                 1.6898,                 2.0196,                 2.3678,               0.001882,               0.001882,               0.001882
                     84,                  1.588,                 1.3154,                 2.0834,                0.81862,                0.80954,                0.85067,                 0.5258,                 1.4196,                  1.242,                 2.0261,               0.001783,               0.001783,               0.001783
                     85,                 1.5849,                 1.2309,                 2.0635,                0.85745,                0.81166,                0.89238,                0.61658,                 1.2089,                 1.0511,                 1.8665,               0.001684,               0.001684,               0.001684
                     86,                 1.4421,                  1.255,                 1.9721,                0.86467,                0.81166,                0.89246,                0.61047,                 1.2122,                 1.0422,                 1.8564,               0.001585,               0.001585,               0.001585
                     87,                 1.5009,                 1.2962,                 2.0378,                0.81734,                0.83857,                0.88531,                0.60239,                 1.2241,                 1.0594,                 1.8727,               0.001486,               0.001486,               0.001486
                     88,                 1.4742,                 1.2344,                 2.0103,                0.83246,                0.80215,                0.88605,                0.59926,                 1.2396,                 1.0671,                 1.8814,               0.001387,               0.001387,               0.001387
                     89,                 1.4991,                 1.2391,                 2.0017,                0.88137,                0.78475,                0.89121,                0.61212,                 1.2118,                 1.0257,                 1.8622,               0.001288,               0.001288,               0.001288
                     90,                 1.3571,                 1.2577,                 1.9867,                0.85308,                0.80718,                 0.8953,                 0.6119,                 1.2086,                 1.0394,                 1.8385,               0.001189,               0.001189,               0.001189
                     91,                 1.3771,                 1.2779,                 2.0368,                0.84269,                0.81673,                 0.8924,                0.59954,                 1.2447,                 1.1152,                 1.8506,                0.00109,                0.00109,                0.00109
                     92,                 1.2981,                 1.1545,                 1.9022,                0.89628,                0.77503,                 0.8956,                0.62059,                 1.1972,                 1.0697,                 1.8271,               0.000991,               0.000991,               0.000991
                     93,                 1.2969,                 1.1538,                 1.9527,                0.85599,                0.81166,                0.90192,                0.63104,                  1.174,                0.99882,                 1.8108,               0.000892,               0.000892,               0.000892
                     94,                 1.2545,                  1.107,                 1.8689,                0.87405,                0.81614,                0.90678,                0.63817,                 1.1474,                0.97926,                 1.7851,               0.000793,               0.000793,               0.000793
                     95,                 1.2416,                 1.0604,                 1.8835,                0.87472,                0.81408,                0.90925,                0.64483,                 1.1235,                0.94998,                 1.7529,               0.000694,               0.000694,               0.000694
                     96,                 1.2418,                 1.1025,                  1.902,                0.88802,                0.80717,                0.91363,                0.64213,                   1.13,                0.94602,                 1.7585,               0.000595,               0.000595,               0.000595
                     97,                 1.2636,                 1.0661,                 1.9165,                0.87501,                0.82063,                0.91131,                0.64067,                 1.1546,                0.94756,                 1.7783,               0.000496,               0.000496,               0.000496
                     98,                 1.2598,                 1.0559,                 1.9084,                0.89237,                0.81166,                0.91372,                0.64882,                 1.1385,                0.94202,                 1.7653,               0.000397,               0.000397,               0.000397
                     99,                 1.2492,                 1.1022,                 1.9436,                0.89338,                0.81614,                0.91898,                0.65425,                 1.1252,                0.93553,                 1.7511,               0.000298,               0.000298,               0.000298
