                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.6803,                 2.5842,                 3.2676,                0.40206,                0.03139,                0.12505,                0.04657,                 2.4129,                 3.3681,                 3.3783,               0.003466,               0.003466,               0.003466
                     35,                 2.5683,                 2.4593,                 3.1902,                0.48907,                0.15695,                0.16426,                 0.0614,                 2.3871,                  3.174,                 3.2886,               0.003268,               0.003268,               0.003268
                     36,                 2.5913,                 2.3822,                 3.1518,                0.40353,                0.15695,                 0.1516,                0.05587,                 2.3552,                 3.1209,                 3.2429,                0.00307,                0.00307,                0.00307
                     37,                  2.537,                 2.3462,                 3.1568,                0.74892,                0.09865,                0.26377,                0.10666,                 2.2765,                 3.1037,                 3.2238,               0.002872,               0.002872,               0.002872
                     38,                 2.5187,                 2.3192,                 3.1036,                0.60383,                 0.1572,                0.22806,                0.09108,                 2.2908,                 3.0871,                 3.1924,               0.002674,               0.002674,               0.002674
                     39,                 2.5528,                 2.2439,                 3.1009,                0.66925,                 0.2287,                0.31172,                0.13105,                 2.2106,                   2.94,                 3.1295,               0.002476,               0.002476,               0.002476
                     40,                 2.1251,                 2.5173,                 2.9568,                0.40197,                0.10314,                0.15833,                0.04695,                 2.3104,                 3.2282,                 3.2233,               0.002278,               0.002278,               0.002278
                     41,                   2.07,                 2.2387,                 2.8905,                 0.2763,                0.20628,                0.10955,                0.03207,                  2.387,                 3.2757,                 3.2453,                0.00208,                0.00208,                0.00208
                     42,                 1.9748,                 2.1092,                 2.8259,                0.26211,                0.21973,                0.11297,                0.03267,                 2.3602,                 3.3804,                 3.2263,               0.001882,               0.001882,               0.001882
                     43,                  2.005,                 2.2086,                 2.8961,                0.26809,                 0.1889,                0.09666,                0.02638,                 2.4809,                 3.4317,                 3.3784,               0.001684,               0.001684,               0.001684
                     44,                   2.02,                 2.1206,                 2.8192,                0.26689,                 0.2287,                 0.1333,                0.04373,                 2.3523,                 3.3392,                 3.1656,               0.001486,               0.001486,               0.001486
                     45,                 2.0037,                 2.0715,                   2.84,                0.30539,                  0.287,                0.15788,                0.06043,                 2.2737,                 3.1979,                 3.0639,               0.001288,               0.001288,               0.001288
                     46,                 1.9385,                 2.0264,                 2.7793,                0.37588,                  0.287,                 0.2096,                0.08447,                  2.275,                 3.0826,                 3.0568,                0.00109,                0.00109,                0.00109
                     47,                 1.9463,                  1.965,                 2.7702,                 0.3874,                0.32287,                0.25795,                0.10743,                 2.2467,                 2.9895,                 3.0129,               0.000892,               0.000892,               0.000892
                     48,                 1.9427,                 2.0552,                 2.7875,                0.42986,                0.32735,                0.29907,                0.12883,                 2.1659,                 2.8268,                 2.9364,               0.000694,               0.000694,               0.000694
                     49,                 1.9036,                 2.0201,                 2.7274,                0.48582,                0.36771,                0.33759,                0.14798,                 2.0995,                 2.7433,                 2.8752,               0.000496,               0.000496,               0.000496
